,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.133333,-0.006809,-0.000737,0.005684,-0.999960,66.572960,911.027954,27.823685,79.862404,937.227234,27.621269,82.773941,903.759705,23.327953,69.760292,914.414673,49.479015,41.068085,919.601318,21.296453,59.400066,880.136658,17.393723
17,0.141667,-0.006849,-0.001496,0.005306,-0.999961,66.629021,911.035095,27.782570,79.898102,937.244507,27.562420,82.828743,903.779663,23.261696,69.846504,914.422363,49.433365,41.107761,919.589539,21.294680,59.464005,880.139221,17.360687
18,0.150000,-0.006794,-0.000324,0.005348,-0.999963,66.604210,911.046082,27.860813,79.876350,937.254211,27.668528,82.813759,903.788513,23.378780,69.771309,914.435608,49.518665,41.099056,919.602234,21.312122,59.460583,880.149658,17.425962
19,0.158333,-0.006799,-0.000824,0.005637,-0.999961,66.564758,911.026733,27.818729,79.851700,937.227234,27.613543,82.765648,903.759888,23.320305,69.755547,914.414124,49.473446,41.057945,919.597595,21.295790,59.392967,880.134583,17.390556
20,0.166667,-0.006752,-0.002153,0.005663,-0.999959,66.603188,911.026855,27.765806,79.890411,937.226868,27.523178,82.791817,903.759094,23.224916,69.851646,914.415833,49.411694,41.079403,919.597961,21.310005,59.402683,880.134033,17.359232
21,0.175000,-0.006379,-0.000226,0.005644,-0.999964,66.559265,911.049622,27.859804,79.847008,937.249634,27.648243,82.765343,903.778687,23.386866,69.724297,914.455322,49.515430,41.060432,919.615417,21.299187,59.399235,880.148743,17.449286
22,0.183333,-0.006404,0.000081,0.005799,-0.999963,66.533722,911.053345,27.848747,79.829803,937.249268,27.646538,82.740257,903.777527,23.385395,69.686562,914.457031,49.506462,41.041599,919.627502,21.272915,59.370392,880.155212,17.432413
23,0.191667,-0.006839,-0.000778,0.005716,-0.999960,66.559967,911.033508,27.820435,79.851097,937.231873,27.618536,82.760109,903.764465,23.322914,69.749321,914.418640,49.475712,41.055115,919.608948,21.295843,59.384216,880.143311,17.389160
24,0.200000,-0.006163,-0.000462,0.005751,-0.999964,66.562996,911.038452,27.843948,79.856171,937.235596,27.614803,82.765411,903.762146,23.366423,69.739059,914.452820,49.496597,41.062851,919.606873,21.291782,59.391495,880.134644,17.450121
25,0.208333,-0.006661,-0.000895,0.005812,-0.999961,66.553604,911.022095,27.822264,79.849617,937.217896,27.607903,82.751312,903.748413,23.323503,69.748711,914.414368,49.475582,41.048824,919.599976,21.300646,59.369579,880.129517,17.403677
