,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,Name,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,Tracker Nico,"Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker1","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker2","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker3","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker4","Tracker Nico:Marker5","Tracker Nico:Marker5","Tracker Nico:Marker5"
,ID,"8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94","8EE804E77AE011ED98B8270975E6FD94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2366,19.716667,-0.088573,-0.199866,0.039781,-0.975001,-68.300003,749.477478,-10.900990,-53.618408,774.878540,-12.413818,-55.844406,742.606262,-22.440302,-56.753117,748.916870,7.991796,-93.395340,759.854919,-5.502916,-81.888756,721.130676,-22.139755
2367,19.725000,-0.089942,-0.200942,0.038345,-0.974711,-63.891270,746.987183,-12.972890,-49.273933,772.428711,-14.426880,-51.440533,740.185181,-24.558365,-52.308037,746.390625,5.896537,-89.001549,757.285400,-7.493401,-77.432304,718.645630,-24.282385
2368,19.733333,-0.090987,-0.204267,0.038374,-0.973922,-59.334980,744.563293,-15.138189,-44.729137,770.009277,-16.628803,-46.962055,737.790283,-26.823565,-47.625095,743.921875,3.651423,-84.408409,754.846497,-9.465051,-72.950211,716.248291,-26.424995
2369,19.741667,-0.092400,-0.206012,0.037152,-0.973469,-54.786758,742.253723,-17.255856,-40.238781,767.735229,-18.705547,-42.437897,735.547119,-29.004812,-43.014450,741.571655,1.493273,-79.862907,752.464783,-11.465619,-68.379776,713.949585,-28.596617
2370,19.750000,-0.091491,-0.207467,0.037001,-0.973251,-50.189980,740.129944,-19.337416,-35.669884,765.622498,-20.869907,-37.869785,733.416382,-31.112452,-38.361568,739.487976,-0.622215,-75.258286,750.326965,-13.488814,-63.790398,711.795715,-30.593739
2371,19.758333,-0.092469,-0.208983,0.035634,-0.972885,-45.531857,738.140503,-21.409084,-31.079903,763.673340,-22.914255,-33.227730,731.489075,-33.236053,-33.649834,737.478760,-2.728570,-70.609222,748.259155,-15.463863,-59.092625,709.802063,-32.702728
2372,19.766667,-0.092744,-0.212418,0.037050,-0.972062,-40.837971,736.313782,-23.405329,-26.338835,761.814026,-25.007080,-28.635435,729.638245,-35.323658,-28.821989,735.618225,-4.811920,-65.848183,746.487671,-17.274570,-54.545433,708.010376,-34.609463
2373,19.775000,-0.094578,-0.215322,0.036804,-0.971255,-36.108707,734.679382,-25.434772,-21.623314,760.188599,-27.017771,-23.974497,728.054260,-37.450600,-23.984835,733.911133,-6.914416,-61.084560,744.823792,-19.117880,-49.876350,706.418884,-36.673248
2374,19.783333,-0.095825,-0.215845,0.034396,-0.971105,-31.328354,733.204102,-27.372477,-16.951813,758.779846,-28.873064,-19.172710,726.672852,-39.417953,-19.191364,732.421875,-8.861292,-56.343475,743.220459,-21.006754,-44.982426,704.925415,-38.703362
2375,19.791667,-0.095708,-0.218916,0.035263,-0.970398,-26.503927,731.913818,-29.244389,-12.109411,757.473328,-30.844181,-14.433307,725.366150,-41.366264,-14.248758,731.122925,-10.811599,-51.466549,741.959106,-22.720182,-40.261635,703.647278,-40.479763
2376,19.800000,-0.096312,-0.221963,0.035767,-0.969627,-21.680878,730.836304,-31.081858,-7.278413,756.387756,-32.738903,-9.691634,724.296082,-43.288181,-9.310297,730.012512,-12.727778,-46.594650,740.890747,-24.387197,-35.529419,702.594360,-42.267277
2377,19.808333,-0.096387,-0.221545,0.035816,-0.969714,-16.831230,730.028931,-32.855000,-2.422169,755.577576,-34.497887,-4.833006,723.487183,-45.051693,-4.476334,729.201111,-14.490538,-41.748604,740.087891,-26.180620,-30.676060,701.790588,-44.054314
2378,19.816667,-0.096402,-0.224854,0.035258,-0.968971,-11.981850,729.375610,-34.596733,2.373602,754.949219,-36.318291,-0.054033,722.861755,-46.877144,0.496057,728.556396,-16.315239,-36.871010,739.388794,-27.750425,-25.853888,701.121643,-45.722618
2379,19.825000,-0.097130,-0.226753,0.034642,-0.968478,-7.121337,728.839844,-36.341911,7.197028,754.433899,-38.067924,4.768341,722.363892,-48.679199,5.425675,728.000610,-18.108688,-31.996719,738.809937,-29.383625,-21.001032,700.590515,-47.470177
2380,19.833333,-0.097056,-0.229398,0.033472,-0.967903,-2.244208,728.450012,-38.010536,11.994075,754.084900,-39.792755,9.599526,722.015381,-50.413475,10.399035,727.633301,-19.842886,-27.110870,738.346313,-30.917107,-16.102827,700.169800,-49.086517
2381,19.841667,-0.097551,-0.230884,0.033505,-0.967499,2.552739,728.291687,-39.535965,16.786345,753.928162,-41.332653,14.358572,721.870667,-51.982002,15.251044,727.454285,-21.407701,-22.291971,738.180786,-32.355999,-11.340314,700.024292,-50.601524
2382,19.850000,-0.097110,-0.232690,0.033503,-0.967110,7.330142,728.350098,-40.992615,21.543285,753.992981,-42.858829,19.093214,721.927185,-53.478096,20.095968,727.531372,-22.910976,-17.493082,738.230713,-33.727123,-6.588696,700.068054,-51.988094
2383,19.858333,-0.096712,-0.233785,0.031683,-0.966947,12.135758,728.499817,-42.535133,26.245098,754.198364,-44.423103,23.900499,722.125183,-55.043743,24.938423,727.727783,-24.477514,-12.712263,738.282043,-35.221489,-1.692986,700.165649,-53.509872
2384,19.866667,-0.098006,-0.237001,0.032368,-0.966011,16.838970,728.890320,-43.892403,30.970686,754.574402,-45.809128,28.510790,722.531860,-56.495956,29.761358,728.054382,-25.923113,-7.945971,738.687439,-36.387173,2.897968,700.603210,-54.846691
2385,19.875000,-0.097876,-0.238875,0.032566,-0.965556,21.560629,729.408203,-45.217007,35.684349,755.092285,-47.192059,33.183517,723.048218,-57.864941,34.552727,728.574951,-27.297934,-3.195141,739.205933,-37.616886,7.577673,701.119446,-56.113262
2386,19.883333,-0.097835,-0.240053,0.031030,-0.965319,26.267721,730.093201,-46.512825,40.304981,755.823853,-48.497318,37.884445,723.780273,-59.189968,39.299858,729.287598,-28.621572,1.496647,739.805725,-38.853378,12.352651,701.768188,-57.401932
2387,19.891667,-0.097601,-0.241807,0.032428,-0.964859,30.975813,730.953674,-47.764744,45.063629,756.650574,-49.827778,42.528687,724.602722,-60.481159,44.075699,730.134949,-29.923639,6.256891,740.729553,-40.017914,16.954136,702.650452,-58.573284
2388,19.900000,-0.097104,-0.243302,0.030249,-0.964604,35.673222,732.116699,-48.900993,49.634129,757.880249,-50.994484,47.222645,725.823364,-61.649143,48.823444,731.355652,-31.094402,10.928774,741.773926,-41.087139,21.757086,703.750061,-59.679844
2389,19.908333,-0.095359,-0.244912,0.030960,-0.964348,40.431564,733.304749,-50.085152,54.390778,759.057434,-52.318977,51.935249,726.963257,-62.850819,53.643402,732.604126,-32.321743,15.716534,742.995483,-42.219883,26.471832,704.903137,-60.714386
2390,19.916667,-0.095402,-0.247584,0.030713,-0.963669,45.189152,734.723999,-51.188129,59.112267,760.490723,-53.484882,56.629086,728.399536,-64.019348,58.498032,734.026733,-33.497177,20.508339,744.388000,-43.183723,31.198019,706.314758,-61.755573
2391,19.925000,-0.094375,-0.250498,0.029671,-0.963049,49.872765,736.391968,-52.281094,63.704006,762.198059,-54.688225,61.257442,730.087158,-65.170982,63.285820,735.755859,-34.666679,25.209421,745.990540,-44.145149,35.907104,707.928040,-62.734478
2392,19.933333,-0.094240,-0.251078,0.028611,-0.962944,54.637077,738.191528,-53.182808,68.408844,764.028992,-55.595043,66.023064,731.916077,-66.085869,68.068718,737.579407,-35.581718,29.960533,747.732849,-45.019642,40.724205,709.700195,-63.631809
2393,19.941667,-0.093868,-0.252680,0.028955,-0.962550,59.405807,740.085876,-54.205311,73.174385,765.918823,-56.682636,70.747040,733.798889,-67.142105,72.896553,739.483826,-36.649132,34.758755,749.637939,-45.965969,45.452278,711.589722,-64.586761
2394,19.950000,-0.093753,-0.257334,0.027482,-0.961371,64.002083,742.259460,-55.076313,77.651535,768.145691,-57.654690,75.245842,736.027344,-68.124306,77.657417,741.689880,-37.646748,39.397484,751.711975,-46.598686,50.058113,713.722168,-65.357178
2395,19.958333,-0.092331,-0.257425,0.028331,-0.961460,68.667686,744.506531,-55.931946,82.338936,770.372375,-58.597706,79.901138,738.223083,-68.964165,82.328964,743.980408,-38.505672,44.074543,754.007629,-47.475407,54.694836,715.948914,-66.116806
2396,19.966667,-0.090658,-0.259090,0.026917,-0.961212,73.148857,747.038208,-56.578445,86.711182,772.950439,-59.348114,84.365372,740.767578,-69.631416,86.867035,746.606018,-39.194344,48.545876,756.463867,-48.066357,59.254780,718.402832,-66.652046
2397,19.975000,-0.091166,-0.259943,0.025593,-0.960970,77.511497,749.830505,-57.231087,91.006889,775.780334,-59.975552,88.723572,743.609985,-70.311806,91.256744,749.401123,-39.868309,52.898571,759.181641,-48.665676,63.671684,721.179199,-67.334137
2398,19.983333,-0.088943,-0.260592,0.024757,-0.961025,81.865639,752.774536,-57.703548,95.282837,778.752502,-60.562939,93.080269,746.536438,-70.773720,95.632423,752.451050,-40.355545,57.235889,762.087280,-49.144722,68.096756,724.045166,-67.680855
2399,19.991667,-0.087897,-0.263744,0.024492,-0.960267,86.102928,755.980408,-58.114605,99.460251,781.974915,-61.101540,97.242783,749.739319,-71.247101,99.981941,755.706116,-40.855408,61.514252,765.268005,-49.411541,72.315384,727.213623,-67.957474
2400,20.000000,-0.086457,-0.265160,0.024219,-0.960015,90.339066,759.327820,-58.497578,103.648094,785.334961,-61.588051,101.450645,753.070679,-71.646393,104.268021,759.117920,-41.277752,65.761360,768.599915,-49.747089,76.567177,730.515564,-68.228645
2401,20.008333,-0.085063,-0.266090,0.023232,-0.959907,94.436493,762.932495,-58.740261,107.667480,788.970093,-61.908203,105.542648,756.678833,-71.895332,108.395874,762.797424,-41.544342,69.848236,772.154297,-49.966335,80.728226,734.061584,-68.387146
2402,20.016667,-0.084742,-0.267838,0.021600,-0.959487,98.438797,766.760132,-58.962063,111.565910,792.846191,-62.163189,109.523567,760.551453,-72.156448,112.455536,766.668213,-41.812576,73.846931,775.890320,-50.102875,84.802040,737.844177,-68.575264
2403,20.025000,-0.082380,-0.269169,0.022480,-0.959300,102.430779,770.658508,-59.068039,115.553688,796.725769,-62.435421,113.475929,764.382751,-72.263893,116.497261,770.647888,-41.959091,77.866562,779.837280,-50.182430,88.760429,741.698547,-68.499397
2404,20.033333,-0.079439,-0.269894,0.021011,-0.959378,106.408730,774.655273,-59.142502,119.409340,800.765015,-62.652157,117.465950,768.365784,-72.321709,120.496140,774.790955,-42.051315,81.814148,783.765808,-50.270603,92.858055,745.588562,-68.416763
2405,20.041667,-0.078166,-0.272587,0.022071,-0.958697,110.183495,778.691833,-59.219204,123.188194,804.779236,-62.876606,121.158752,772.355103,-72.444183,124.369186,778.861755,-42.209812,85.648956,787.850586,-50.231426,96.552353,749.612244,-68.334030
2406,20.050000,-0.076657,-0.272410,0.020341,-0.958907,114.167053,782.936768,-59.166561,127.066566,809.070251,-62.867390,125.177086,776.618958,-72.371704,128.340652,783.198975,-42.148262,89.589035,792.012146,-50.213104,100.661896,753.783203,-68.232384
2407,20.058333,-0.074823,-0.275328,0.019372,-0.958238,117.787338,787.117249,-59.203419,130.578934,813.282349,-63.052303,128.740189,780.798828,-72.455727,132.059891,787.473083,-42.269722,93.232742,796.137085,-50.130375,104.324921,757.894653,-68.109016
2408,20.066667,-0.073241,-0.274395,0.018416,-0.958647,121.509743,791.545166,-58.970779,134.241928,817.733093,-62.861042,132.506638,785.220642,-72.183640,135.745743,791.981873,-42.008240,96.912994,800.525085,-49.972652,108.141418,762.264771,-67.828362
2409,20.075000,-0.072142,-0.275772,0.017119,-0.958359,125.022827,795.739563,-58.964722,137.658646,821.964111,-62.922714,136.005402,789.433899,-72.198479,139.302185,796.245178,-42.040573,100.420639,804.650635,-49.913063,111.727264,766.404053,-67.748817
2410,20.083333,-0.069906,-0.277324,0.017084,-0.958078,128.341934,800.101990,-58.746937,140.925110,826.328735,-62.854706,139.291702,793.757690,-71.989403,142.674530,800.699707,-41.870876,103.755287,809.013611,-49.653748,115.062996,770.709961,-67.365990
2411,20.091667,-0.069497,-0.279878,0.016203,-0.957380,131.882553,804.484802,-58.579605,144.385300,830.739258,-62.755146,142.777954,798.163513,-71.877853,146.300858,805.116699,-41.777962,107.323273,813.342163,-49.360313,118.625366,775.062012,-67.126785
2412,20.100000,-0.067472,-0.278355,0.014943,-0.957989,135.354675,808.915344,-58.300911,147.783463,835.197754,-62.521339,146.315933,802.586853,-71.541458,149.714035,809.651123,-41.453091,110.734940,817.720520,-49.193596,122.224953,779.420166,-66.795113
2413,20.108333,-0.062908,-0.282750,0.015866,-0.956997,138.504959,813.251892,-58.080284,150.858063,839.511353,-62.651390,149.352295,806.818726,-71.364136,153.018143,814.157898,-41.373146,113.958199,822.106812,-48.825390,125.338066,783.664551,-66.187401
2414,20.116667,-0.061139,-0.283191,0.014609,-0.957001,141.670914,817.773499,-57.751240,153.929642,844.063293,-62.401375,152.530701,811.342590,-71.026001,156.193161,818.774231,-41.057377,117.100456,826.567993,-48.501659,128.600601,788.119263,-65.769814
2415,20.125000,-0.060580,-0.283306,0.013851,-0.957014,144.832016,822.413513,-57.365372,157.043243,848.722107,-62.033997,155.701431,815.993408,-70.637512,159.354736,823.450745,-40.674149,120.247185,831.170166,-48.118046,131.813477,792.730896,-65.363197
2416,20.133333,-0.059380,-0.284623,0.013558,-0.956703,147.864670,827.007202,-57.019890,160.026596,853.323059,-61.775455,158.707230,820.574951,-70.308075,162.430832,828.098938,-40.370056,123.292656,835.748657,-47.724308,134.866013,797.290100,-64.921585
2417,20.141667,-0.057146,-0.283783,0.011883,-0.957110,150.745453,831.783447,-56.541298,162.801270,858.136230,-61.362270,161.642456,825.353943,-69.786171,165.273621,832.995605,-39.866608,126.116928,840.448425,-47.323883,137.892960,801.982971,-64.367592
2418,20.150000,-0.056606,-0.286393,0.011224,-0.956373,153.524246,836.634583,-55.924179,165.505341,863.007080,-60.823009,164.362137,830.218262,-69.223892,168.139160,837.882141,-39.328083,128.929413,845.258850,-46.579517,140.685196,806.806335,-63.666412
2419,20.158333,-0.053973,-0.284714,0.009757,-0.957042,156.369171,841.675476,-55.257900,168.259323,868.076111,-60.226231,167.282715,835.247070,-68.489700,170.917130,843.054993,-38.613503,131.704422,850.237732,-46.041416,143.682236,811.761230,-62.918686
2420,20.166667,-0.052221,-0.286584,0.009398,-0.956585,158.944672,846.734436,-54.563644,170.765915,873.141968,-59.658337,169.819504,840.285889,-67.817520,173.553696,848.192261,-37.979515,134.299332,855.278809,-45.278786,146.284866,816.773193,-62.084106
2421,20.175000,-0.050383,-0.287683,0.007934,-0.956367,161.451645,852.025574,-53.756866,173.157272,878.466125,-58.945976,172.324081,845.585205,-67.016685,176.089615,853.585022,-37.207542,136.792175,860.496643,-44.442440,148.895020,821.994629,-61.171719
2422,20.183333,-0.048456,-0.288865,0.007212,-0.956116,163.885742,857.345764,-52.937721,175.510086,883.799805,-58.239700,174.743637,850.890930,-66.202415,178.558609,858.996704,-36.428215,139.226318,865.782654,-43.592281,151.390060,827.258484,-60.226021
2423,20.191667,-0.046828,-0.288085,0.005561,-0.956443,166.332596,862.970276,-51.954876,177.860001,889.459167,-57.294155,177.240540,856.530151,-65.185600,180.968597,864.716675,-35.422482,141.622437,871.328308,-42.672794,153.971420,832.816895,-59.199387
2424,20.200000,-0.045115,-0.287867,0.005232,-0.956593,168.511322,868.615356,-50.923508,179.999207,895.105957,-56.339058,179.436356,862.151550,-64.128578,183.135956,870.436340,-34.389111,143.783051,876.962646,-41.680077,156.202011,838.419922,-58.080734
2425,20.208333,-0.042407,-0.289882,0.004381,-0.956112,170.436890,874.261597,-49.866478,181.813156,900.765259,-55.451267,181.329788,867.773438,-63.086136,185.122543,876.208313,-33.400627,145.718460,882.568604,-40.560635,158.200500,843.992249,-56.833759
2426,20.216667,-0.039859,-0.289765,0.002849,-0.956263,172.333313,880.109497,-48.701767,183.595322,906.640381,-54.387848,183.260284,873.616516,-61.890888,187.003204,882.186584,-32.237804,147.574600,888.344849,-39.439377,160.233139,849.758972,-55.552940
2427,20.225000,-0.037477,-0.289297,0.002408,-0.956502,174.150787,885.991638,-47.522251,185.360779,912.522339,-53.311161,185.105911,879.465637,-60.671703,188.798660,888.171997,-31.052036,149.364349,894.212646,-38.321545,162.124268,855.585327,-54.254837
2428,20.233333,-0.036397,-0.288937,-0.000133,-0.956656,175.924179,891.999939,-46.211647,186.994766,918.587952,-52.006001,186.927429,885.525940,-59.346581,190.544052,894.270203,-29.728695,151.084381,900.091125,-37.039787,164.070297,861.524414,-52.937206
2429,20.241667,-0.033241,-0.289045,-0.000362,-0.956738,177.411835,897.983521,-44.845520,188.421265,924.561829,-50.798615,188.427963,891.456909,-57.943581,192.028763,900.384277,-28.378466,152.554993,906.072388,-35.717953,165.626221,867.441895,-51.389011
2430,20.250000,-0.031461,-0.289163,-0.002118,-0.956761,178.770035,904.056274,-43.430325,189.661957,930.668335,-49.448078,189.813599,897.546814,-56.513821,193.377701,906.560730,-26.970499,153.878647,912.057556,-34.319683,167.118271,873.447510,-49.899563
2431,20.258333,-0.028810,-0.289648,-0.001382,-0.956698,179.953598,910.078857,-41.963741,190.835297,936.659180,-48.138542,190.985107,903.499329,-55.022316,194.577332,912.675964,-25.532558,155.070084,918.126343,-32.872303,168.300201,879.433350,-48.253010
2432,20.266667,-0.026338,-0.287884,-0.003375,-0.957297,181.259491,916.202942,-40.402443,192.028229,942.816589,-46.631523,192.374878,909.633423,-53.394749,195.806259,918.934387,-23.924801,156.300125,924.154846,-31.435638,169.787994,885.475403,-46.625526
2433,20.275000,-0.023924,-0.288500,-0.003381,-0.957175,182.301239,922.253662,-38.894100,193.024063,948.853638,-45.259258,193.410065,915.640137,-51.869678,196.864319,925.081970,-22.447239,157.341507,930.211121,-29.933249,170.866226,891.481262,-44.961105
2434,20.283333,-0.021358,-0.287867,-0.004800,-0.957420,183.217072,928.294250,-37.313698,193.838272,954.912354,-43.772602,194.372116,921.673950,-50.246124,197.744446,931.250610,-20.857758,158.211487,936.184143,-28.421282,171.919083,897.449829,-43.270737
2435,20.291667,-0.019858,-0.290209,-0.005533,-0.956741,183.984634,934.267273,-35.790298,194.511185,960.894592,-42.365330,195.092834,927.641724,-48.760307,198.584183,937.298279,-19.412020,159.003571,942.119751,-26.796400,172.731400,903.381775,-41.617455
2436,20.300000,-0.017899,-0.290651,-0.005737,-0.956645,184.676971,940.215149,-34.208572,195.156555,966.834656,-40.889465,195.784149,933.559692,-47.164135,199.286026,943.328247,-17.854174,159.691605,948.061707,-25.221430,173.466537,909.291321,-39.913685
2437,20.308333,-0.015375,-0.288628,-0.007243,-0.957290,185.304535,946.203003,-32.513256,195.699493,972.840515,-39.254215,196.496048,939.544067,-45.394249,199.829147,949.442993,-16.108364,160.247223,953.977966,-23.665279,174.250778,915.209229,-38.144196
2438,20.316667,-0.012586,-0.287747,-0.007577,-0.957594,185.910767,952.135437,-30.870169,196.259689,978.760986,-37.728275,197.141663,945.435303,-43.695366,200.396652,955.492004,-14.454499,160.819382,959.900085,-22.110115,174.936417,921.088623,-36.362610
2439,20.325000,-0.009290,-0.286085,-0.009405,-0.958113,186.286179,957.928894,-29.172495,196.517395,984.573181,-36.133614,197.598679,951.221863,-41.922173,200.694901,961.448975,-12.723186,161.122406,965.604797,-20.542864,175.497528,926.795349,-34.540653
2440,20.333333,-0.007364,-0.286800,-0.011080,-0.957898,186.562912,963.603210,-27.558098,196.668732,990.272278,-34.606777,197.886261,956.910278,-40.305534,200.979568,967.230713,-11.139123,161.378387,971.193787,-18.913525,175.901611,932.408691,-32.825546
2441,20.341667,-0.005264,-0.287703,-0.012542,-0.957623,186.631287,969.226746,-25.847544,196.616806,995.913513,-32.999908,197.958344,962.538513,-38.594177,201.062988,972.964844,-9.466620,161.432129,976.743652,-17.181284,176.086182,937.972839,-30.995737
2442,20.350000,-0.003752,-0.289328,-0.012932,-0.957135,186.540283,974.712280,-24.153160,196.457703,1001.395935,-31.411104,197.835617,968.008179,-36.919579,201.020569,978.518433,-7.830888,161.357895,982.211243,-15.422810,176.029602,943.427246,-29.181437
2443,20.358333,-0.001381,-0.285759,-0.013885,-0.958200,186.308945,980.068848,-22.297386,196.197189,1006.755249,-29.585037,197.720917,973.350891,-34.952274,200.654068,983.984192,-5.881855,161.038284,987.522156,-13.785816,175.934296,948.731567,-27.281958
2444,20.366667,-0.001109,-0.289364,-0.013436,-0.957124,185.667419,985.306458,-20.441877,195.518280,1011.979797,-27.827066,196.979492,978.569763,-33.176281,200.138123,989.226501,-4.138062,160.466385,992.784119,-11.747169,175.234833,953.971741,-25.320818
2445,20.375000,0.001041,-0.287613,-0.014301,-0.957640,185.052444,990.454895,-18.543179,194.853928,1017.130127,-25.987114,196.431076,983.705566,-31.211414,199.451126,994.474854,-2.199980,159.797882,997.890686,-9.968688,174.728195,959.072998,-23.348703
2446,20.383333,0.004823,-0.284572,-0.015123,-0.958523,184.239182,995.412903,-16.601379,193.989456,1022.074463,-24.160553,195.724258,988.621948,-29.150778,198.517120,999.595703,-0.193264,158.902420,1002.810852,-8.239313,174.062653,963.961121,-21.263002
2447,20.391667,0.005900,-0.284011,-0.016389,-0.958663,183.206848,1000.252258,-14.606435,192.884933,1026.933472,-22.189554,194.727264,993.479675,-27.133320,197.452682,1004.500122,1.812860,157.837875,1007.584229,-6.283938,173.131439,968.763550,-19.238230
2448,20.400000,0.007328,-0.285706,-0.016386,-0.958149,181.966385,1004.879700,-12.635175,191.596344,1031.547241,-20.326763,193.448456,998.081238,-25.183243,196.266052,1009.185059,3.722262,156.620728,1012.214661,-4.244608,171.900330,973.370056,-17.143528
2449,20.408333,0.009408,-0.282786,-0.017144,-0.958984,180.517288,1009.409180,-10.565023,190.123672,1036.075684,-18.289515,192.094040,1002.598267,-23.018997,194.704941,1013.808838,5.864713,155.101334,1016.705383,-2.355199,170.562454,977.857544,-15.026129
2450,20.416667,0.010734,-0.284294,-0.017390,-0.958519,178.916412,1013.644958,-8.525105,188.466339,1040.303833,-16.345154,190.462616,1006.817322,-20.998259,193.149765,1018.102173,7.849466,153.517303,1020.930664,-0.254158,168.986053,982.070374,-12.877430
2451,20.425000,0.011615,-0.282372,-0.018218,-0.959062,177.292389,1017.712830,-6.454250,186.817383,1044.382935,-14.266478,188.902863,1010.895508,-18.873245,191.450577,1022.218689,9.972086,151.845032,1024.954346,1.706576,167.446121,986.112488,-10.810195
2452,20.433333,0.013641,-0.279291,-0.020034,-0.959901,175.521378,1021.585693,-4.298781,184.971924,1048.278809,-12.122952,187.242996,1014.789001,-16.624365,189.552628,1026.202271,12.205530,149.988663,1028.730103,3.678893,165.850647,989.927917,-8.631021
2453,20.441667,0.016133,-0.278139,-0.019806,-0.960201,173.487228,1025.121460,-2.190858,182.931396,1051.785522,-10.121113,185.246017,1018.276428,-14.454154,187.472961,1029.831909,14.325602,147.927887,1032.279663,5.688633,163.857941,993.433533,-6.393262
2454,20.450000,0.016522,-0.278780,-0.020517,-0.959994,171.328629,1028.403931,-0.112712,180.720184,1055.079712,-8.065947,183.081558,1021.572693,-12.389303,185.329285,1033.142700,16.382990,145.768768,1035.525024,7.798646,161.743423,996.699280,-4.289954
2455,20.458333,0.016223,-0.278061,-0.021587,-0.960184,169.119385,1031.393066,2.031314,178.471542,1058.096313,-5.876250,180.902939,1024.599121,-10.236553,183.087250,1036.138550,18.552866,143.534653,1038.455811,9.914417,159.600601,999.675354,-2.197912
2456,20.466667,0.018750,-0.277153,-0.021010,-0.960413,166.747787,1034.071655,4.166078,176.107437,1060.737061,-3.859605,178.557983,1027.218750,-8.043204,180.681091,1038.906372,20.690962,141.145142,1041.166626,11.961695,157.247330,1002.329590,0.080537
2457,20.475000,0.019843,-0.276682,-0.021791,-0.960509,164.302673,1036.537109,6.262927,173.613602,1063.209106,-1.797454,176.139252,1029.689209,-5.923602,178.209579,1041.428467,22.793379,138.677444,1043.590576,14.021996,154.873505,1004.768372,2.220307
2458,20.483333,0.020134,-0.273562,-0.022649,-0.961377,161.732117,1038.792847,8.370768,171.044342,1065.483154,0.372780,173.660049,1031.968384,-3.739659,175.522766,1043.708862,24.991024,136.044022,1045.796997,15.964850,152.389435,1007.006653,4.264838
2459,20.491667,0.020290,-0.271751,-0.022692,-0.961886,159.072327,1040.741577,10.495101,168.408722,1067.432373,2.527572,171.047272,1033.917725,-1.569132,172.799194,1045.663574,27.166304,133.354294,1047.741455,17.991182,149.752151,1008.952637,6.359577
2460,20.500000,0.020158,-0.271709,-0.023572,-0.961880,156.373642,1042.490723,12.539947,165.667007,1069.202515,4.592336,168.360077,1035.695068,0.471153,170.091919,1047.422729,29.215265,130.644012,1049.443237,20.040211,147.105194,1010.689758,8.380767
2461,20.508333,0.021170,-0.271049,-0.023170,-0.962054,153.457062,1043.988770,14.657910,162.767303,1070.681763,6.666768,165.459305,1037.165039,2.620733,167.152542,1048.953491,31.342272,127.718193,1050.962524,22.106609,144.187973,1012.180908,10.553166
2462,20.516667,0.023754,-0.265504,-0.024195,-0.963513,150.489456,1045.296387,16.796782,159.797409,1071.989502,8.803690,162.653778,1038.466431,4.926973,163.973862,1050.377808,33.617355,124.641945,1052.208740,23.919464,141.380264,1013.439209,12.716420
2463,20.525000,0.022673,-0.265444,-0.024962,-0.963536,147.387238,1046.316528,18.835608,156.671310,1073.037964,10.909485,159.558182,1039.527222,6.949282,160.866425,1051.368286,35.669334,121.533226,1053.187622,25.974491,138.307068,1014.461426,14.675449
2464,20.533333,0.023074,-0.264176,-0.025087,-0.963872,144.166275,1047.075439,20.926197,153.457993,1073.796387,13.007786,156.371857,1040.284668,9.076251,157.598557,1052.144287,37.792206,118.290138,1053.938110,27.992611,135.112854,1015.213135,16.762133
2465,20.541667,0.023012,-0.263826,-0.025197,-0.963967,140.824829,1047.636475,23.041363,150.117096,1074.360962,15.134934,153.040222,1040.850464,11.198839,154.244003,1052.704712,39.918022,114.942307,1054.492920,30.090548,131.780502,1015.773315,18.864466
